"* Required Fields","* campo obbligatorio"
"Ratepay calculator does not support test mode, and as such the live credentials are used here.","La calcolatrice Ratepay non supporta la modalità di test e, come tale, qui vengono utilizzate le credenziali live."
"Ratepay instalment calculator","Calcolatore rateale Ratepay"
"Recurring Payments","Pagamenti ricorrenti"
"Refund Amount","Importo rimborsato"
"Refund ID","ID rimborso"
"Refund amount","Importo rimborsato"
"Refund information","Informazione sul rimborso"
"Refund status","Status rimborso"
"Refunded Amount","Importo rimborsato"
"Refunds","Crediti"
"Register","Registrarsi"
"Register to Create an Account","Iscriviti per creare un account"
"Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Release Date","Data di rilascio"
"Review","Revisione"
"Rounding Adjustment","Arrotondamenti"
"Row Total","Totale riga"
"Run for new customers","Run for new customers"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Vendite"
"Sales Tax Number","Numero tasse vendite"
"Save","Salva"
"Saved cards:","Carte salvate"
"See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Select Brand","Seleziona Marca"
"Select Method","Seleziona metodo"
"Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Select the date of your birth.","Inserisci la data di nascita"
"Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Selected payment","Pagamento selezionato"
"Send Invoice Email","Invia la fattura per email"
"Send amounts to Concardis PayEngine 3.0 in base currency.","Invia l'importo a Concardis PayEngine 3.0  in base alla valuta."
"Send amounts to Concardis PayEngine 3.0 in store's base currency.","Invia importo a Concardis PayEngine 3.0  nella valuta base del negozio."
"Send invoice email","Invia la fattura via email"
"Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Service charge","Costo del servizio"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Settlement after order","Creazione dopo l'ordine"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Importo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping Refund","Rimborso della spedizione"
"Shop","Shop"
"Should device tracking be used, and if, when?","Should device tracking be used, and if, when?"
"Should the amount be captured automatically (debit) or should the amount only be reserved (deferred)?","L'importo deve essere prelevato automaticamente (addebito) o deve essere riservato solo (differito)?"
"Should the amount be confirmed automatically or should the amount only be authorised? Please note that the automatic confirmation should only be used for digital goods and similar cases. Once the payment has been made the goods should be immediately available.","Should the amount be confirmed automatically or should the amount only be authorised? Please note that the automatic confirmation should only be used for digital goods and similar cases. Once the payment has been made the goods should be immediately available."
"Should the element which contains the credit cards be rendered inline with other elements, or wide?","Should the element which contains the credit cards be rendered inline with other elements, or wide?"
"Show","Mostra"
"Show Account Selection","Mostra la selezione dell'account"
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Show Image","Mostra immagine"
"Show Payment Id","Mostra il Payment Id"
"Show rate calculations","Show rate calculations"
"Show the payment id","Mostra il payment ID"
"Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Show the payment image","Mostra l'immagine di pagamento"
"Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Sign In","Log in"
"Signing fee","Signing fee"
"Social Security Number","Social Security Number"
"Sort Order","Sort Order"
"Status","Stato"
"Store the payment details","Salvare i dati di pagamento"
"Stored payment details","Dettagli di pagamento memorizzate"
"Submit","Invia"
"Submit Order","Conferma l'ordine"
"Submitting order information...","Invio informazioni sull'ordine ..."
"Subtotal","Totale parziale"
"Success","Successo"
"Successful","Successo"
"Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Successful payment authorization.","Pagamento autorizzato con successo."
"Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Sum of all cart items, the purchase amount.","Sum of all cart items, the purchase amount."
"Support","Supporto"
"Tax Amount","Importo Tassa"
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Terms & Conditions and Privacy","Termini e Condizioni e Privacy"
"Terms &amp; Conditions and Privacy","Termini e Condizioni e Privacy"
"Test","Test"
"Test Mode","Test Mode"
"Test Transaction","Test per la transazione"
"The API private key can be found in the backend of Concardis PayEngine 3.0 under My Account > API Keys > Private Key.","The API private key can be found in the backend of Concardis PayEngine 3.0 under My Account > API Keys > Private Key."
"The HMAC key as defined in the live backoffice of Concardis PayEngine 3.0. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Concardis PayEngine 3.0. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"The alias could not be found.","L'alias non é stato trovato."
"The alias has been deleted.","L'alias é stato cancellato."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"The amount of !amount is captured.","La quantità di !amount é registrata."
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"The authorization was not successful","The authorization was not successful"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"The cancel failed with status !status.","L'annullamento non è riuscito con lo stato !"
"The cancel was submitted succesfully, but the result is still pending.","L'annullamento è stato presentato con successo, ma il risultato è ancora in sospeso."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"The capture failed with status !status.","L'acquisizione non è riuscita con lo stato !"
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"The capture was submitted succesfully, but the result is still pending.","La cattura è stata presentata con successo, ma il risultato è ancora in sospeso."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"The configuration has been saved.","La configurazione é stata salvata."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"The date of birth is required.","È richiesta la data di nascita."
"The desired rate corresponds to the given conditions.<br/>The installment calculation may derivate from the installment plan.","The desired rate corresponds to the given conditions.<br/>The installment calculation may derivate from the installment plan."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno."
"The gender is required.","Il sesso deve essere specificato."
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The identifier as defined in the backoffice of Concardis PayEngine 3.0.","The identifier as defined in the backoffice of Concardis PayEngine 3.0."
"The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da Concardis PayEngine 3.0."
"The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"The invoice could not be found.","La fattura non é stato trovata."
"The invoice has been changed.","La fattura é stata cambiata."
"The invoice no longer exists.","La fattura non esiste più."
"The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"The mandate reference will be transmitted after order completion.","The mandate reference will be transmitted after order completion."
"The maximum run time in months is:","Il tempo massimo di esecuzione in mesi è di"
"The minimum rate per month is:","Il tasso minimo mensile è:"
"The minimum run time in months is:","Il tempo minimo di esecuzione in mesi è:"
"The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"The order could not be created.","The order could not be created."
"The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"The payment has been accepted.","Il pagamento é stato accettato."
"The payment has been denied.","Il pagamento é stato rifiutato."
"The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"The payment process has been cancelled by the customer.","Il processo di pagamento è stato annullato dal cliente."
"The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"The rang (PBX_RANG) as defined in the live backoffice of Concardis PayEngine 3.0. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Concardis PayEngine 3.0. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The rate due in the last month.","The rate due in the last month."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The remainder of the transaction was cancelled (in progress).","The remainder of the transaction was cancelled (in progress)."
"The remainder of the transaction was cancelled.","The remainder of the transaction was cancelled."
"The required parameters for the rate calculation were not received.","The required parameters for the rate calculation were not received."
"The shopping cart has been altered!","Il carrello é stato modificato!"
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of Concardis PayEngine 3.0.","The site id (PBX_RANG) as defined in the backoffice of Concardis PayEngine 3.0."
"The total including the initial order, signing fee and interest.","The total including the initial order, signing fee and interest."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"The transaction cannot be captured online.","Impossibile registrare la transazione online."
"The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"The transaction expired.","L'operazione è scaduta."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction failed.","L'operazione è fallita."
"The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"The transaction was aborted.","L'operazione è stata interrotta."
"The transaction was declined.","L'operazione è stata respinta."
"The value for configuration '@label' must be set.","Deve essere impostato il valore per la configurazione '@label'."
"The whole transaction is cancelled.","L'intera transazione é stata annullata."
"There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"There seems to be a configuration issue. Please try another payment method, and contact the merchant.","There seems to be a configuration issue. Please try another payment method, and contact the merchant."
"There seems to be a problem with the Concardis PayEngine 3.0 module.","Sembra esserci un problema con il modulo Concardis PayEngine 3.0."
"There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"There was an error with your connection, please try again later.","Si è verificato un errore durante la connessione, riprovare più tardi."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Concardis PayEngine 3.0 account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Concardis PayEngine 3.0 account."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","Questo stato è impostato quando il pagamento ha avuto successo ed è autorizzato."
"This transaction is already closed for further captures.","Questa transazione é già chiusa."
"This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"This transaction no longer exists.","La transazione non esiste più."
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Titel","Titolo"
"Title","Title"
"Title of the payment method","Nome del metodo di pagamento"
"Total","Totale"
"Total Shipping Charges","Totale spese di trasporto"
"Total amount","Importo totale"
"Total cost of the credit as annual percentage.","Total cost of the credit as annual percentage."
"Track order history","Traccia lo storico dell'ordine"
"Transaction","tbcl_payengine3cw_transaction_view"
"Transaction Authorized","Transazione autorizzata"
"Transaction Cancelled","Transazione annullata"
"Transaction Captured","Transazione registrata"
"Transaction History","Storico della transazione"
"Transaction Id","Transaction ID"
"Transaction Paid","La transazione é stata pagata"
"Transaction Uncertain","Transazione incerta"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","La transazione é stata annullata con successo."
"Transaction captured successfully","Transazione registrata con successo"
"Transaction history","Sintesi delle transazioni"
"Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Transactions","Transazioni"
"Transfer","Transfer"
"Unable to save the invoice.","Impossibile salvare la fattura."
"Uncertain Status","Stato Incerto"
"Uncertain transactions","Transazioni incerte"
"Update","Aggiornamento"
"Update Qty's","Regolare la quantità"
"Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Use Base Currency","Usa valuta di base"
"Use Default","Usare le impostazioni standard"
"Use base currency","Usa la valuta di base"
"VISA","VISA"
"Validation","Validazione"
"Value for '@name' must be set.","Il valore per '@name' deve essere impostato."
"Version","Versione"
"View","Visualizza"
"Wait On Success Page","Aspetta sulla pagina di successo"
"We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del Concardis PayEngine 3.0 plugin."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Concardis PayEngine 3.0 is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Concardis PayEngine 3.0 is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Wide","Wide"
"Within the order process, we will be sending your data to RatePAY GmbH for the purpose of verifying your identity and creditworthiness as well as the performance of the contract. The <a href='//ratepay.com/legal/' title='Legal - RatePAY' target='_blank'>Additional General Terms and Conditions and Data Protection Notice of RatePAY GmbH</a> apply.","Within the order process, we will be sending your data to RatePAY GmbH for the purpose of verifying your identity and creditworthiness as well as the performance of the contract. The <a href='//ratepay.com/legal/' title='Legal - RatePAY' target='_blank'>Additional General Terms and Conditions and Data Protection Notice of RatePAY GmbH</a> apply."
"Year","Anno"
"Yes","Si"
"Yes, use images for the brand selection.","Yes, use images for the brand selection."
"You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"You can specify the order status for new orders that have an uncertain authorisation status.","È possibile specificare lo stato dell'ordine per i nuovi ordini con uno stato di autorizzazione incerto."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono acquisiti direttamente dopo l'ordine o manualmente nel backend."
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine in caso di annullamento."
"You created the order.","Hai creato questo ordine."
"You have no stored aliases.","Non hai nessun alias memorizzato."
"You have to agree to the RatePay agreement.","Devi accettare l'accordo RatePay."
"You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"Your billing and shipping addresses must be the same when using RatePay.","I vostri indirizzi di fatturazione e spedizione devono essere gli stessi quando si utilizza RatePay."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Your checkout session expired.","Your checkout session expired."
"PayEngine3Cw Aliases","PayEngine3Cw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Concardis PayEngine 3.0 Aliases","Concardis PayEngine 3.0 Aliases"
"Concardis PayEngine 3.0 Billing Address ID","Concardis PayEngine 3.0 Billing Address ID"
"Concardis PayEngine 3.0 Customer ID","Concardis PayEngine 3.0 Customer ID"
"Concardis PayEngine 3.0 Error","Errore di Concardis PayEngine 3.0"
"Concardis PayEngine 3.0 Order ID","Concardis PayEngine 3.0 Order ID"
"Concardis PayEngine 3.0 Parameters","Impostazioni per Concardis PayEngine 3.0"
"Concardis PayEngine 3.0 Payment Instrument ID","Concardis PayEngine 3.0 Payment Instrument ID"
"Concardis PayEngine 3.0 Persona ID","Concardis PayEngine 3.0 Persona ID"
"Concardis PayEngine 3.0 Refund Items","Articoli rimborsati Concardis PayEngine 3.0"
"Concardis PayEngine 3.0 Section","Sezione Concardis PayEngine 3.0"
"Concardis PayEngine 3.0 Shipping Address ID","Concardis PayEngine 3.0 Shipping Address ID"
"Concardis PayEngine 3.0 Transactions","Concardis PayEngine 3.0 transazioni"
"Concardis PayEngine 3.0:","Concardis PayEngine 3.0:"
"Concardis PayEngine 3.0: Alias Management","Concardis PayEngine 3.0: Alias Management"
"customweb ltd","customweb SRL"
"no","no"
"or","oppure"
"yes","yes"
"{n} monthly rates each","{n} monthly rates each"
"{n}. monthly rate","{n}. monthly rate"
